Date,Open,High,Low,Close,Adj Close,Volume
5-Dec-25,280.54,281.14,278.05,278.78,278.78,"47,244,000"
4-Dec-25,284.1,284.73,278.59,280.7,280.7,"43,989,100"
3-Dec-25,286.2,288.62,283.3,284.15,284.15,"43,538,700"
2-Dec-25,283,287.4,282.63,286.19,286.19,"53,669,500"
1-Dec-25,278.01,283.42,276.14,283.1,283.1,"46,587,700"
28-Nov-25,277.26,279,275.99,278.85,278.85,"20,135,600"
26-Nov-25,276.96,279.53,276.63,277.55,277.55,"33,431,400"
25-Nov-25,275.27,280.38,275.25,276.97,276.97,"46,914,200"
24-Nov-25,270.9,277,270.9,275.92,275.92,"65,585,800"
21-Nov-25,265.95,273.33,265.67,271.49,271.49,"59,030,800"
20-Nov-25,270.83,275.43,265.92,266.25,266.25,"45,823,600"
19-Nov-25,265.53,272.21,265.5,268.56,268.56,"40,424,500"
18-Nov-25,269.99,270.71,265.32,267.44,267.44,"45,677,300"
17-Nov-25,268.82,270.49,265.73,267.46,267.46,"45,018,300"
14-Nov-25,271.05,275.96,269.6,272.41,272.41,"47,431,300"
13-Nov-25,274.11,276.7,272.09,272.95,272.95,"49,602,800"
12-Nov-25,275,275.73,271.7,273.47,273.47,"48,398,000"
11-Nov-25,269.81,275.91,269.8,275.25,275.25,"46,208,300"
10-Nov-25,268.96,273.73,267.46,269.43,269.43,"41,312,400"
7-Nov-25,269.8,272.29,266.77,268.47,268.21,"48,227,400"
6-Nov-25,267.89,273.4,267.89,269.77,269.51,"51,204,000"
5-Nov-25,268.61,271.7,266.93,270.14,269.88,"43,683,100"
4-Nov-25,268.33,271.49,267.62,270.04,269.78,"49,274,800"
3-Nov-25,270.42,270.85,266.25,269.05,268.79,"50,194,600"
31-Oct-25,276.99,277.32,269.16,270.37,270.11,"86,167,100"
30-Oct-25,271.99,274.14,268.48,271.4,271.14,"69,886,500"
29-Oct-25,269.28,271.41,267.11,269.7,269.44,"51,086,700"
28-Oct-25,268.99,269.89,268.15,269,268.74,"41,534,800"
27-Oct-25,264.88,269.12,264.65,268.81,268.55,"44,888,200"
24-Oct-25,261.19,264.13,259.18,262.82,262.57,"38,253,700"
