Date,Open,High,Low,Close,Adj Close,Volume
5-Dec-25,183.89,184.66,180.91,182.41,182.41,"143,635,500"
4-Dec-25,181.62,184.52,179.96,183.38,183.38,"167,364,900"
3-Dec-25,181.08,182.45,179.11,179.59,179.58,"165,138,000"
2-Dec-25,181.76,185.66,180,181.46,181.45,"182,632,200"
1-Dec-25,174.76,180.3,173.68,179.92,179.91,"188,131,000"
28-Nov-25,179.01,179.29,176.5,177,176.99,"121,332,800"
26-Nov-25,181.63,182.91,178.24,180.26,180.25,"183,852,000"
25-Nov-25,174.91,178.16,169.55,177.82,177.81,"320,600,300"
24-Nov-25,179.49,183.5,176.48,182.55,182.54,"256,618,300"
21-Nov-25,181.24,184.56,172.93,178.88,178.87,"346,926,200"
20-Nov-25,195.95,196,179.85,180.64,180.63,"343,504,800"
19-Nov-25,184.79,187.86,182.83,186.52,186.51,"247,246,400"
18-Nov-25,183.38,184.8,179.65,181.36,181.35,"213,598,900"
17-Nov-25,185.97,189,184.32,186.6,186.59,"173,628,900"
14-Nov-25,182.86,191.01,180.58,190.17,190.16,"186,591,900"
13-Nov-25,191.05,191.44,183.85,186.86,186.85,"207,423,100"
12-Nov-25,195.72,195.89,191.13,193.8,193.79,"154,935,300"
11-Nov-25,195.16,195.42,191.3,193.16,193.15,"176,483,300"
10-Nov-25,195.11,199.94,193.79,199.05,199.04,"198,897,100"
7-Nov-25,184.9,188.32,178.91,188.15,188.14,"264,942,300"
6-Nov-25,196.42,197.62,186.38,188.08,188.07,"223,029,800"
5-Nov-25,198.77,202.92,194.65,195.21,195.2,"171,350,300"
4-Nov-25,203,203.97,197.93,198.69,198.68,"188,919,300"
3-Nov-25,208.08,211.34,205.56,206.88,206.87,"180,267,300"
31-Oct-25,206.45,207.97,202.07,202.49,202.48,"179,802,200"
30-Oct-25,205.15,206.16,201.41,202.89,202.88,"178,864,400"
29-Oct-25,207.98,212.19,204.78,207.04,207.03,"308,829,600"
28-Oct-25,193.05,203.15,191.91,201.03,201.02,"297,986,200"
27-Oct-25,189.99,192,188.43,191.49,191.48,"153,452,700"
24-Oct-25,183.84,187.47,183.5,186.26,186.25,"131,296,700"
23-Oct-25,180.42,183.03,179.79,182.16,182.15,"111,363,700"
22-Oct-25,181.14,183.44,176.76,180.28,180.27,"162,249,600"
21-Oct-25,182.79,182.79,179.8,181.16,181.15,"124,240,200"
20-Oct-25,183.13,185.2,181.73,182.64,182.63,"128,544,700"
17-Oct-25,180.18,184.1,179.75,183.22,183.21,"173,135,200"
16-Oct-25,182.23,183.28,179.77,181.81,181.8,"179,723,300"
15-Oct-25,184.8,184.87,177.29,179.83,179.82,"214,450,500"
14-Oct-25,184.77,184.8,179.7,180.03,180.02,"205,641,400"
13-Oct-25,187.97,190.11,185.96,188.32,188.31,"153,482,800"
10-Oct-25,193.51,195.62,182.05,183.16,183.15,"268,774,400"
9-Oct-25,192.23,195.3,191.06,192.57,192.56,"182,997,200"
8-Oct-25,186.57,189.6,186.54,189.11,189.1,"130,168,900"
7-Oct-25,186.23,189.06,184,185.04,185.03,"140,088,000"
6-Oct-25,185.5,187.23,183.33,185.54,185.53,"157,678,100"
3-Oct-25,189.19,190.36,185.38,187.62,187.61,"137,596,900"
2-Oct-25,189.6,191.05,188.06,188.89,188.88,"136,805,800"
1-Oct-25,185.24,188.14,183.9,187.24,187.23,"173,844,900"
30-Sep-25,182.08,187.35,181.48,186.58,186.57,"236,981,000"
29-Sep-25,180.43,184,180.32,181.85,181.84,"193,063,500"
